NAME,DISPLAY_NAME,ALLOWED_RANGES,DEFAULT_VALUE,DESCRIPTION
"set_ref_clk_div","Divide factor (N-Counter)","1 2 4 8","1","Specifies the N-counter. See the Transceivers User Manual for detailed description."
"set_l_counter","Divide factor (L-Counter)","1 2 4 8 16","16","Specifies the L-counter and is intended for non-cascade mode. See the Transceivers User Manual for detailed description."
"set_l_cascade_counter","Divide factor (L-Cascade Counter)","4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31","15","Specifies the L-Cascade counter and is intended for cascade mode. See the Transceivers User Manual for detailed description."
"set_l_cascade_predivider","predivide factor (L-Cascade Predivider)","1 2","1","Specifies the L-Cascade predivider value and is intended for cascade mode. 1 when vco frequency is less than or equal to 10G and 2 when vco frequency is greater than 10G. See the Transceivers User Manual for detailed description."
"set_k_counter","Fractional multiply factor (K)","","2000000000","Specifies the K counter. See the Transceivers User Manual for detailed description."
"set_altera_xcvr_atx_pll_a10_calibration_en","Enable calibration","{0 1}","1","Enable transceiver calibration algorithms."
"enable_analog_resets","Enable pll_powerdown and mcgb_rst connections","{0 1}","0","INTERNAL USE ONLY. When selected, the pll_powerdown and mcgb_rst input ports will be connected internally in the IP. Otherwise and by default these ports are made present but have no affect when asserted."
"enable_ext_lockdetect_ports","Enable clklow and fref ports","{0 1}","0","Enables fref and clklow clock ports for external lock detector."
"enable_mcgb","Include Master Clock Generation Block","{0 1}","0","When enabled Master CGB will be included as part of the IP. PLL output will feed the Master CGB input."
"mcgb_div","Clock division factor","1 2 4 8","1","Divides the Master CGB clock input before generating bonding clocks."
"enable_hfreq_clk","Enable x6/xN non-bonded high-speed clock output port","{0 1}","0","This output port can be used to access x6/xN clock lines for non-bonded designs"
"enable_mcgb_pcie_clksw","Enable PCIe clock switch interface","{0 1}","0","Enables the control signals for PCIe clock switch circuitry"
"mcgb_aux_clkin_cnt","Number of auxiliary MCGB clock input ports.","0 1","0","Auxiliary input is intended for PCIe Gen3, hence not available in FPLL"
"enable_bonding_clks","Enable bonding clock output ports","{0 1}","0","Should be enable for bonded designs"
"enable_fb_comp_bonding","Enable feedback compensation bonding","{0 1}","0",""
"pma_width","PMA interface width","8 10 16 20 32 40 64","64","PMA-PCS Interface width. Proper value must be selected for bonding clocks to be generated properly for Native PHY IP."
"enable_pld_mcgb_cal_busy_port","enable_pld_mcgb_cal_busy_port","0 1","0",""
