NAME,DISPLAY_NAME,ALLOWED_RANGES,DEFAULT_VALUE,DESCRIPTION
"gui_enable_cascade_out","Enable cascade clock output port (FPLL to FPLL cascading)","","false","Enables the cascade clock output port for FPLL to FPLL cascading"
"gui_cascade_outclk_index","Specifies which core outclk to be used as cascading source","0 1 2 3","0","Specifies the cascading source for FPLL to FPLL cascading."
"gui_enable_dps","Enable access to dynamic phase shift ports","","false","Enables access to dynamic phase shift ports. When this option is selected, phase_reset, phase_en, updn, cntsel[3:0], reconfig_avmm,phase_done ports are enabled."
"gui_enable_manual_config","Enable physical output clock parameters","","false","Selecting this option allows you to manually specify M,N and C counter values."
"gui_hssi_output_clock_frequency","PLL output frequency","","1250.0",""
"gui_pll_m_counter","Multiply factor (M-counter)","-2147483648:2147483647","1","Specifies the multiply factor (M counter)"
"gui_pll_n_counter","Divide factor (N-counter)","-2147483648:2147483647","1","Specifies the divide factor (N counter)"
"gui_fractional_x","Fractional factor (x)","-2147483648:2147483647","32","Specifies the fractional x factor (x counter)"
"gui_pll_dsm_fractional_division","Fractional multiply factor (K)","","1","Specifies the fractional multiply factor (K counter)"
"gui_pll_c_counter_0","Divide factor (C-counter 0)","1:256","1","Specifies the divide factor (C-counter 0)"
"gui_pll_c_counter_1","Divide factor (C-counter 1)","1:256","1","Specifies the divide factor (C-counter 1)"
"gui_pll_c_counter_2","Divide factor (C-counter 2)","1:256","1","Specifies the divide factor (C-counter 2)"
"gui_pll_c_counter_3","Divide factor (C-counter 3)","1:256","1","Specifies the divide factor (C-counter 3)"
"gui_number_of_output_clocks","Number of clocks","1 2 3 4","1","Specifies the number of output clocks required in the FPLL design."
"gui_enable_phase_alignment","Enable phase alignment","","false","Enables phase alignment."
"phase_alignment_check_var","Core mode phase alignment frequency check variable","","false","Variable used for frequency check in core mode phase alignment."
"gui_desired_outclk0_frequency","Desired frequency","","100.0","Specifies requested value for output clock frequency"
"gui_actual_outclk0_frequency","Actual frequency","100.0:N/A","100.0","Specifies actual value for output clock frequency"
"gui_outclk0_phase_shift_unit","Phase shift units","0:ps 1:degrees","0","Specifies phase shift in degrees or picoseconds"
"gui_outclk0_desired_phase_shift","Phase shift","","0.0","Specifies requested value for phase shift"
"gui_outclk0_actual_phase_shift","Actual phase shift","0.0:N/A","0.0","Specifies actual value for phase shift"
"gui_outclk0_actual_phase_shift_deg","Actual phase shift","0.0:N/A","0.0","Specifies actual value for phase shift"
"gui_desired_outclk1_frequency","Desired frequency","","100.0","Specifies requested value for output clock frequency"
"gui_actual_outclk1_frequency","Actual frequency","100.0:N/A","100.0","Specifies actual value for output clock frequency"
"gui_outclk1_phase_shift_unit","Phase shift units","0:ps 1:degrees","0","Specifies phase shift in degrees or picoseconds"
"gui_outclk1_desired_phase_shift","Phase shift","-2147483648:2147483647","0","Specifies requested value for phase shift"
"gui_outclk1_actual_phase_shift","Actual phase shift","0.0:N/A","0.0","Specifies actual value for phase shift"
"gui_outclk1_actual_phase_shift_deg","Actual phase shift","0.0:N/A","0.0","Specifies actual value for phase shift"
"gui_desired_outclk2_frequency","Desired frequency","","100.0","Specifies requested value for output clock frequency"
"gui_actual_outclk2_frequency","Actual frequency","100.0:N/A","100.0","Specifies actual value for output clock frequency"
"gui_outclk2_phase_shift_unit","Phase shift units","0:ps 1:degrees","0","Specifies phase shift in degrees or picoseconds"
"gui_outclk2_desired_phase_shift","Phase shift","-2147483648:2147483647","0","Specifies requested value for phase shift"
"gui_outclk2_actual_phase_shift","Actual phase shift","{0 ps:N/A}","0 ps","Specifies actual value for phase shift"
"gui_outclk2_actual_phase_shift_deg","Actual phase shift","{0 deg:N/A}","0 deg","Specifies actual value for phase shift"
"gui_desired_outclk3_frequency","Desired frequency","","100.0","Specifies requested value for output clock frequency"
"gui_actual_outclk3_frequency","Actual frequency","100.0:N/A","100.0","Specifies actual value for output clock frequency"
"gui_outclk3_phase_shift_unit","Phase shift units","0:ps 1:degrees","0","Specifies phase shift in degrees or picoseconds"
"gui_outclk3_desired_phase_shift","Phase shift","-2147483648:2147483647","0","Specifies requested value for phase shift"
"gui_outclk3_actual_phase_shift","Actual phase shift","0.0:N/A","0.0","Specifies actual value for phase shift"
"gui_outclk3_actual_phase_shift_deg","Actual phase shift","0.0:N/A","0.0","Specifies actual value for phase shift"
"gui_desired_hssi_cascade_frequency","Desired frequency","","100.0","Specifies the requested value for output clock frequency"
"set_altera_xcvr_fpll_a10_calibration_en","Enable calibration","{0 1}","1","Enable transceiver calibration algorithms."
"support_mode","Support mode","user_mode engineering_mode","user_mode","Specifies the desired support mode. Note that engineering mode is available for internal-use only."
"enable_mcgb","Include Master Clock Generation Block","{0 1}","0","When enabled Master CGB will be included as part of the IP. PLL output will feed the Master CGB input."
"mcgb_div","Clock division factor","1 2 4 8","1","Divides the Master CGB clock input before generating bonding clocks."
"enable_hfreq_clk","Enable x6/xN non-bonded high-speed clock output port","{0 1}","0","This output port can be used to access x6/xN clock lines for non-bonded designs"
"enable_mcgb_pcie_clksw","Enable PCIe clock switch interface","{0 1}","0","Enables the control signals for PCIe clock switch circuitry"
"mcgb_aux_clkin_cnt","Number of auxiliary MCGB clock input ports.","0","0","Auxiliary input is intended for PCIe Gen3, hence not available in FPLL"
"enable_bonding_clks","Enable bonding clock output ports","{0 1}","0","Should be enable for bonded designs"
"enable_fb_comp_bonding","Enable feedback compensation bonding","{0 1}","0",""
"pma_width","PMA interface width","8 10 16 20 32 40 64","64","PMA-PCS Interface width. Proper value must be selected for bonding clocks to be generated properly for Native PHY IP."
"enable_pld_mcgb_cal_busy_port","enable_pld_mcgb_cal_busy_port","0 1","0",""
